companyname,officername,officerposition,officer_keyinformation,company_keyinformation,officer_highlight,company_highlight,sources
Piratic Nutcracker Corp,"Abdullahi, Scott",director,,,NO,NO,Fictional data by Paraitepui
Piratic Nutcracker Corp,"Ibrahim, Andrej",director,,,NO,NO,Fictional data by Paraitepui
Piratic Nutcracker Corp,"al-Noorani, Taqiyya",director,To be onboarded,,NO,NO,Fictional data by Paraitepui
Piratic Nutcracker Corp,Gypsum Motmot Corp,director,Incorporated in Cayman Islands,,NO,NO,Fictional data by Paraitepui
Succulent Blackmamba Corp,"Solis, Jordan",secretary,Sanctioned,Listed by law enforcement,YES,YES,Fictional data by Paraitepui
Succulent Blackmamba Corp,"Gonzalez, Jessika",director,,Listed by law enforcement,NO,YES,Fictional data by Paraitepui
Succulent Blackmamba Corp,"Ibrahim, Andrej",former director,,Listed by law enforcement,NO,YES,Fictional data by Paraitepui
Woebegone Gorilla Corp,"al-Noorani, Taqiyya",director,To be onboarded,,NO,NO,Fictional data by Paraitepui
Woebegone Gorilla Corp,"al-Shahin, Khaleel",director,,,NO,NO,Fictional data by Paraitepui
Woebegone Gorilla Corp,"Beverly, Wesley",director,,,NO,NO,Fictional data by Paraitepui
Deductive Ekaltadeta Corp,"Smart, Kyle",director,,,NO,NO,Fictional data by Paraitepui
Deductive Ekaltadeta Corp,Gypsum Motmot Corp,secretary,Incorporated in Cayman Islands,,NO,NO,Fictional data by Paraitepui
Dreamy Monarch Pte. Ltd,"Wright, Ebony",director,,,NO,NO,Fictional data by Paraitepui
Dreamy Monarch Pte. Ltd,Nitro Eagle Corp,director,Incorporated in Cayman Islands,,NO,NO,Fictional data by Paraitepui
Dreamy Monarch Pte. Ltd,"Smart, Kyle",director,,,NO,NO,Fictional data by Paraitepui
